GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
job4j_exercises,ru.job4j,HelloWorld,3,4,0,0,1,2,1,1,1,1
job4j_exercises,ru.job4j,HelloWorld9,7,0,0,0,3,0,2,0,2,0
job4j_exercises,ru.job4j,Task13,3,32,0,0,1,8,1,1,1,1
job4j_exercises,ru.job4j,Task12,3,7,0,0,1,3,1,1,1,1
job4j_exercises,ru.job4j,HelloWorld4,3,4,0,0,1,2,1,1,1,1
job4j_exercises,ru.job4j,Task15,3,48,0,0,1,11,1,1,1,1
job4j_exercises,ru.job4j,HelloWorld5,3,4,0,0,1,2,1,1,1,1
job4j_exercises,ru.job4j,Task14,3,4,0,0,1,2,1,1,1,1
job4j_exercises,ru.job4j,Task17,3,18,0,0,1,5,1,1,1,1
job4j_exercises,ru.job4j,Task16,3,48,0,0,1,11,1,1,1,1
job4j_exercises,ru.job4j,HelloWorld2,7,0,0,0,3,0,2,0,2,0
job4j_exercises,ru.job4j,HelloWorld3,3,4,0,0,1,2,1,1,1,1
job4j_exercises,ru.job4j,App,7,0,0,0,3,0,2,0,2,0
job4j_exercises,ru.job4j.exam.collections,GenericUsage,3,0,0,0,1,0,1,0,1,0
